fyear,trust_code,trust_type
201314,NAX,INDEPENDENT SECTOR
201314,NLY,INDEPENDENT SECTOR
201314,NNV,INDEPENDENT SECTOR
201314,NQ7,INDEPENDENT SECTOR
201314,NQL,INDEPENDENT SECTOR
201314,NR5,INDEPENDENT SECTOR
201314,R1A,COMMUNITY
201314,R1C,COMMUNITY
201314,R1D,COMMUNITY
201314,R1E,COMMUNITY
201314,R1F,ACUTE - MULTI-SERVICE
201314,R1G,CARE TRUST
201314,R1H,ACUTE - TEACHING
201314,R1J,CARE TRUST
201314,RA2,ACUTE - MEDIUM
201314,RA3,ACUTE - SMALL
201314,RA4,ACUTE - SMALL
201314,RA7,ACUTE - TEACHING
201314,RA9,ACUTE - MEDIUM
201314,RAE,ACUTE - TEACHING
201314,RAJ,ACUTE - MEDIUM
201314,RAL,ACUTE - TEACHING
201314,RAN,ACUTE - SPECIALIST
201314,RAP,ACUTE - SMALL
201314,RAS,ACUTE - MULTI-SERVICE
201314,RAT,MENTAL HEALTH AND LEARNING DISABILITY
201314,RAX,ACUTE - SMALL
201314,RBA,ACUTE - MEDIUM
201314,RBB,ACUTE - SPECIALIST
201314,RBD,ACUTE - SMALL
201314,RBK,ACUTE - MEDIUM
201314,RBL,ACUTE - TEACHING
201314,RBN,ACUTE - MEDIUM
201314,RBQ,ACUTE - SPECIALIST
201314,RBS,ACUTE - SPECIALIST
201314,RBT,ACUTE - SMALL
201314,RBV,ACUTE - SPECIALIST
201314,RBZ,ACUTE - SMALL
201314,RC1,ACUTE - SMALL
201314,RC3,ACUTE - MEDIUM
201314,RC9,ACUTE - MEDIUM
201314,RCB,ACUTE - LARGE
201314,RCD,ACUTE - SMALL
201314,RCF,ACUTE - SMALL
201314,RCU,ACUTE - SPECIALIST
201314,RCX,ACUTE - SMALL
201314,RD1,ACUTE - MEDIUM
201314,RD3,ACUTE - SMALL
201314,RD7,ACUTE - MEDIUM
201314,RD8,ACUTE - SMALL
201314,RDD,ACUTE - MEDIUM
201314,RDE,ACUTE - MEDIUM
201314,RDR,COMMUNITY
201314,RDU,ACUTE - MEDIUM
201314,RDY,MENTAL HEALTH AND LEARNING DISABILITY
201314,RDZ,ACUTE - MEDIUM
201314,RE9,ACUTE - SMALL
201314,REF,ACUTE - LARGE
201314,REM,ACUTE - MEDIUM
201314,REN,ACUTE - SPECIALIST
201314,REP,ACUTE - SPECIALIST
